Project_ID,Project_Name,Original_Principal_Amount,Cancelled_Amount,Undisbursed_Amount,Disbursed_Amount,Repaid_to_IBRD,Due_to_IBRD,Exchange_Adjustment,Borrower_Obligation,Sold_3rd_Party,Repaid_3rd_Party,Due_3rd_Party,Loans_Held
P037459,INDUSTRIAL PROJECTS,15000000,0,0,15000000,0,0,0,0,15000000,15000000,0,0
P009595,TROMBAY POWER EXT PR,9800000,142400.82,0,9657599.18,8847599.18,1.86E-09,-1.86E-09,0,810000,810000,0,1.86E-09
P000165,ROADS,4800000,0,0,4800000,1832000,0,0,0,2968000,2968000,0,0
P000660,HIGHWAYS II,15000000,0,0,15000000,11267164.53,0,-0.01,-0.01,3732835.47,3732835.47,0,0
P009600,RAILWAY II A,24000000,0,0,24000000,24000000,0,0,0,0,0,0,0
P009601,RAILWAY II B,19110000,0,0,19110000,19110000,0,0,0,0,0,0,0
P009602,RAILWAY II C,11200000,0,0,11200000,11200000,0,0,0,0,0,0,0
P009603,RAILWAY II D,35700000,0,0,35700000,29538000,3.73E-09,-3.73E-09,0,6162000,6162000,0,3.73E-09
P006582,LOTA COAL MINING I,12200000,135361.66,0,12064638.34,11781494.14,1.86E-09,-1.86E-09,0,283144.2,283144.2,0,1.86E-09
P006583,LOTA COAL MINING II,9600000,0,0,9600000,9500000,0,0,0,100000,100000,0,0
P037427,IRRIGATION,7000000,2127571.21,0,4872428.79,2602428.79,-9.31E-10,9.31E-10,0,2270000,2270000,0,-9.31E-10
P037361,TRANSPORT,10000000,0,0,10000000,310000,0,0.01,0.01,9690000,9690000,0,0
P004655,YANHEE POWER,66000000,211505.62,0,65788494.38,60354507.92,-7.45E-09,-0.009999991,-0.009999999,5433986.46,5433986.46,0,-7.45E-09
P007034,HIGHWAY MAINTENANCE,14500000,0,0,14500000,13339164.56,0,0,0,1160835.44,1160835.44,0,0
P007033,REVISED QUITA POWER,5000000,0,0,5000000,5000000,9.31E-10,-9.31E-10,0,0,0,0,9.31E-10
P037477,TRANSPORT,25000000,0,0,25000000,4489000,0,0,0,20511000,20511000,0,0
P037354,POWER,3571428.57,0,0,3571428.57,1346285.71,4.66E-10,0.009999999,0.01,2225142.86,2225142.86,0,4.66E-10
P010009,RAILWAY II,31000000,32112.85,0,30967887.15,27724889.87,3.73E-09,-0.010000004,-0.01,3242997.28,3242997.28,0,3.73E-09
P007035,RAILWAY,600000,600000,0,0,0,0,0,0,0,0,0,0
P009597,TATA IRON & STEEL CO,32500000,0,0,32500000,16625000,-3.73E-09,3.73E-09,0,15875000,15875000,0,-3.73E-09
P004407,BINGA POWER,21000000,2611541.42,0,18388458.58,14096930.63,0,0,0,4291527.95,4291527.95,0,0
P003007,ROADS I,32655504.38,0,0,32655504.38,8965504.38,3.73E-09,-3.73E-09,0,23690000,23690000,0,3.73E-09
P003007,ROADS I,7344495.62,0,0,7344495.62,6744495.62,0,0,0,600000,600000,0,0
P010010,PICIC I (DFC),4200000,114622.99,0,4085377.01,4085377.01,0,0,0,0,0,0,0
P007503,POWER V,11000000,0,0,11000000,7169000,0,0,0,3831000,3831000,0,0
P006224,JURUMIRIM HYDROELECT,13400000,36386.87,0,13363613.13,13363613.13,-1.86E-09,1.86E-09,0,0,0,0,-1.86E-09
P037428,KAWASAKI STEEL II,8000000,0,0,8000000,3669000,0,0,0,4331000,4331000,0,0
P037417,GENERAL DEVELOPMENT,75000000,0,0,75000000,10598005.36,0,0,0,64401994.64,64401994.64,0,0
P007937,RAILWAYS,15000000,15000000,0,0,0,0,0,0,0,0,0,0
P010011,KARACHI POWER II,14000000,4054.5,0,13995945.5,13497945.5,0,0,0,498000,498000,0,0
P037353,IVK I (DFC),10765000,1476346,0,9288654,3789020,0,0,0,5499634,5499634,0,0
P002003,RAILWAY,28000000,0,0,28000000,19442144.18,3.73E-09,-0.010000004,-0.01,8557855.82,8557855.82,0,3.73E-09
P007504,POWER VI,34000000,0,0,34000000,31529000.28,-7.45E-09,7.45E-09,0,2470999.72,2470999.72,0,-7.45E-09
P007332,HIGHWAY CONSTRUCTION,5500000,0,0,5500000,5151000,-9.31E-10,9.31E-10,0,349000,349000,0,-9.31E-10
P037429,KANSAI POWER II,37000000,0,0,37000000,27050000,0,0,0,9950000,9950000,0,0
P003151,RAILWAY,9500000,0,0,9500000,6502581.99,0,0.01,0.01,2997418.01,2997418.01,0,0
P003265,RAILWAY,9500000,0,0,9500000,6502582,-2.79E-09,0.010000003,0.01,2997418,2997418,0,-2.79E-09
P009598,CALCUTTA PORT,29000000,0,0,29000000,27837000,0,0,0,1163000,1163000,0,0
P009599,MADRAS PORT,14000000,3534151.4,0,10465848.6,9673848.6,1.86E-09,-1.86E-09,0,792000,792000,0,1.86E-09
P037430,HOKURIKU POWER,25000000,0,0,25000000,18274000,0,0,0,6726000,6726000,0,0
P037431,SUMITOMO STEEL I,33000000,0,0,33000000,13370504.56,0,-0.010000005,-0.010000005,19629495.44,19629495.44,0,0
P002551,RAILWAY,39000000,0,0,39000000,34580000,0,0,0,4420000,4420000,0,0
P009605,POWER,25000000,3000000,0,22000000,20097328.7,-3.73E-09,3.73E-09,0,1902671.3,1902671.3,0,-3.73E-09
P037432,KOBE STEEL,10000000,0,0,10000000,4354190.48,9.31E-10,-9.31E-10,0,5645809.52,5645809.52,0,9.31E-10
P037434,CHUBU-HATANAGI POWER,29000000,0,0,29000000,20972687.67,0,-0.010000002,-0.010000002,8027312.33,8027312.33,0,0
P037433,NIPPON KOKAN STEEL,22000000,122932.39,0,21877067.61,8261696.63,-9.31E-10,9.31E-10,0,13615370.98,13615370.98,0,-9.31E-10
P009606,RAILWAY,85000000,0,0,85000000,67183421.94,0,0.010000002,0.010000002,17816578.06,17816578.06,-3.73E-09,0
P007938,CALLAO PORT,6575000,0,0,6575000,5071353.63,9.31E-10,0.009999999,0.01,1503646.37,1503646.37,0,9.31E-10
P010012,POWER,7400000,93516.45,0,7306483.55,6224535.18,0,0,0,1081948.37,1081948.37,0,0
P004214,CAMERON HIGHLAND POW,35600000,7000000,0,28600000,25438997.85,0,0,0,3161002.15,3161002.15,0,0
P006225,FURNAS HYDROELECTRIC,73000000,7.62,0,72999992.38,70400172.99,-1.49E-08,0.010000014,0.009999999,2599819.39,2599819.39,-4.66E-10,-1.49E-08
P007036,GUAYAQUIL PORT I,13000000,0,0,13000000,12750011.15,-1.86E-09,1.86E-09,0,249988.85,249988.85,0,-1.86E-09
P037355,ASCHACH POWER,25000000,0,0,25000000,13853330.43,0,0.010000002,0.010000002,11146669.57,11146669.57,-1.86E-09,0
P037478,TRANSPORT,25000000,0,0,25000000,18338790.05,0,0,0,6661209.95,6661209.95,0,0
P006693,YUMBO EXTENSION,2800000,0,0,2800000,2520000,0,0,0,280000,280000,0,0
P007140,HIGHWAYS II,5000000,39878.74,0,4960121.26,3530117.57,0,0.01,0.01,1430003.69,1430003.69,0,0
P006694,LA ESMERALDA HYDROEL,4600000,0,0,4600000,4600000,0,0,0,0,0,0,0
P037363,POWER,20000000,0,0,20000000,10941326.8,0,0.01,0.01,9058673.2,9058673.2,0,0
P006896,IMPORT CREDIT II,3500000,0,0,3500000,1965000,-2.33E-10,2.33E-10,0,1535000,1535000,0,-2.33E-10
P037435,MIBORO POWER,10000000,0,0,10000000,9000000,1.86E-09,0.009999998,0.01,1000000,1000000,0,1.86E-09
P007139,RIO LEMPA HYDROELECT,3000000,297290.8,0,2702709.2,2662709.2,0,0,0,40000,40000,0,0
P037371,INDUSTRY V,37000000,0,0,37000000,16701627.51,-1.86E-09,-0.020000001,-0.020000003,20298372.49,20298372.49,0,-1.86E-09
P009604,KOYNA POWER,25000000,6300000,0,18700000,17399000,0,0,0,1301000,1301000,0,0
P037418,INDUSTRIAL PROJECTS,20000000,0,0,20000000,6359967.68,0,0,0,13640032.32,13640032.32,0,0
P006695,GUADALUPE POWER,12000000,0,0,12000000,11800021.92,1.86E-09,-0.010000002,-0.01,199978.08,199978.08,0,1.86E-09
P007333,INTERIM POWER,1450000,32387.25,0,1417612.75,1294612.75,0,0,0,123000,123000,0,0
P005176,ROAD,72000000,0,0,72000000,59100000,0,0,0,12900000,12900000,0,0
P037479,TRANSPORT,11600000,0,0,11600000,7616523.81,1.86E-09,-1.86E-09,0,3983476.19,3983476.19,0,1.86E-09
P006226,POWER,11600000,0,0,11600000,11300000,-3.73E-09,3.73E-09,0,300000,300000,0,-3.73E-09
P000776,COMILOG MANGANESE OR,35000000,0,0,35000000,6478100,0,0,0,28521900,28521900,0,0
